"season","Region","village","household","DogID","sex","health","hunt.HH","d.monitored","rr","ctmm.model","AKDE95","AKDEcore","speed","prop.HH","prop.village","space.model","p.space.cat","p.space.YN","np","p.speed.cat","p.speed.YN","nv"
"Wet","Sarh.E","Marabodokouya","MAR17","MAR17A","F",NA,"Y",35,"Y","OUF anisotropic",411610,52952,0.99,0,0,"OUF anisotropic harmonic 4","None",0,NA,"24hr",1,6.02
"Wet","Sarh.E","Marabodokouya","MAR18","MAR18A","F","Moderate","Y",25,"Y","OUF anisotropic",106131,14205,1.84,70,95,"OUF anisotropic harmonic 1","None",0,NA,"24hr",1,0.36
"Wet","Sarh.E","Marabodokouya","MAR18","MAR18E","M","Good","Y",38,"Y","OUF anisotropic",4420703,1155669,1.71,14,22,"OUF anisotropic harmonic 4","None",0,NA,"24hr",1,6.2
"Wet","Sarh.E","Marabodokouya","MAR19","MAR19A","F","Moderate","Y",46,"Y","OU anisotropic",933428,159589,NA,55,66,"OU anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.E","Marabodokouya","MAR19","MAR19C","F","Moderate","Y",35,"Y","OUF anisotropic",28831488,7713584,1.43,30,35,"OUF anisotropic harmonic 1","None",0,NA,"24hr",1,4.37
"Wet","Sarh.E","Marabodokouya","MAR19","MAR19B","F","Poor","Y",48,"Y","OUF anisotropic",31853532,9160826,1.01,39,45,"OUF anisotropic harmonic 3","24hr",1,7.62,"24hr",1,6.25
"Wet","Sarh.E","Marabodokouya","MAR20","MAR20C","F","Moderate","Y",2,"Y","OUF anisotropic",404611,54073,0.85,83,91,"OUF anisotropic harmonic 1","None",0,NA,"12hr",1,2.79
"Wet","Sarh.E","Marabodokouya","MAR22","MAR22A","M","Poor","Y",36,"Y","OUF anisotropic",1207554,123508,1.15,82,89,"OUF anisotropic harmonic 1","24hr",1,12.88,"24hr",1,1.73
"Wet","Sarh.E","Marabodokouya","MAR23","MAR23A","F","Poor",NA,45,"Y","OU anisotropic",38101,4070,NA,75,99,"OUF anisotropic harmonic 4","24hr",1,27.54,NA,NA,0
"Wet","Sarh.E","Marabodokouya","MAR25","MAR25A","F","Moderate","N",10,"Y","OUF anisotropic",988913,152328,0.9,82,84,"OUF anisotropic harmonic 2","None",0,NA,"24hr",1,5.58
"Wet","Sarh.E","Marabodokouya","MAR26","MAR26A","F","Poor",NA,35,"Y","OUF anisotropic",115663,25501,0.51,62,96,"OUF anisotropic harmonic 2","12hr",1,16.28,"24hr",1,2.77
